CASE ID,OPEN DATE,CLOSED DATE,STATUS,TYPE,REQUEST DESCRIPTION,LOCATION DESCRIPTION,SUPERVISOR DISTRICT,ADDRESS,POSITION
3312444,01/27/2014 05:13:00 PM,01/27/2014 05:19:00 PM,Closed,Internal Service Request,Graffiti on green mailbox,NWC 15th Ave and Rivera,7,Intersection of 15TH AVE and RIVERA ST,"(37.7469841075162, -122.471319062201)"
3314247,01/28/2014 10:19:00 AM,01/28/2014 10:22:00 AM,Closed,Sign Repair or Replace,"There are two one way signs at this intersection, both have graffiti.",Lyndhurst and Stratford,7,Intersection of LYNDHURST DR and STRATFORD DR,"(37.7245857590779, -122.473427348896)"
3321578,01/30/2014 10:38:00 AM,02/01/2014 06:26:00 AM,Closed,Graffiti on Public Property,golde graffiti on the utility box,on Lake Merced Blvd at Middlefield,7,Intersection of LAKE MERCED BLVD and MIDDLEFIELD DR,"(37.7295849757949, -122.486552024141)"
3293320,01/21/2014 12:58:00 PM,01/21/2014 03:15:00 PM,Closed,Internal Service Request,Green mailbox has graffiti all over it.,NE,4,Intersection of 24TH AVE and WAWONA ST,"(37.737218938864, -122.480654828232)"
3285644,01/18/2014 04:19:00 PM,01/22/2014 06:20:00 AM,Closed,Graffiti on Private Property,Graffiti,"Reported as: 901-911 Geneva Ave, San Francisco",11,Intersection of GENEVA AVE and MISSION ST,"(37.7164594702207, -122.441019512975)"
3330135,02/02/2014 09:31:00 AM,,Open,Graffiti on Private Property,Graffiti on commercial banneron,"Reported as: 4151-4175 Mission St San Francisco, CA 94112",8,Intersection of MISSION ST and TRUMBULL ST,"(37.7307421190564, -122.429304287001)"
3310936,01/27/2014 12:21:00 PM,01/27/2014 02:01:00 PM,Closed,Graffiti on Public Property,Graffiti on MUNI Bus Shelter Seat.  Send To: MUNI Work Queue,On Mission St,11,Intersection of MISSION ST and NORTON ST,"(37.7245877742118, -122.434870507888)"
3248456,01/08/2014 02:00:00 PM,,Open,Graffiti on Public Property,Graffiti stickers on the front and south sides of Advertiser sidewalk newspaper box.,NWC of Persia and Mission,11,Intersection of MISSION ST and PERSIA AVE,"(37.7231299208602, -122.435976899942)"
3307971,01/26/2014 12:03:00 PM,,Open,Graffiti on Private Property,Graffiti - Private  Private property graffiti on the building..,Mission St,11,Intersection of MISSION ST and RUSSIA AVE,"(37.7215750980693, -122.437149539974)"
3267540,01/13/2014 05:05:00 PM,,Open,Graffiti on Private Property,Graffiti - Private,4304 Mission St,11,Intersection of MISSION ST and SILVER AVE,"(37.7287295224565, -122.431293958694)"
3286010,01/18/2014 06:38:00 PM,01/21/2014 02:14:00 PM,Closed,Graffiti on Public Property,DPW Request ID # 1496082 reports: Graffiti on shelter,South/east near side of Mission at Silver,11,Intersection of MISSION ST and SILVER AVE,"(37.7287295224565, -122.431293958694)"
3309629,01/27/2014 08:08:00 AM,01/27/2014 03:17:00 PM,Closed,Graffiti on Public Property,"Twitter reports ""Graffiti on control box""",Alemany at Santa Rosa,11,Intersection of ALEMANY BLVD and SANTA ROSA AVE,"(37.7267191301274, -122.435990849882)"
3307496,01/26/2014 07:51:00 AM,01/27/2014 03:17:00 PM,Closed,Graffiti on Public Property,Graffiti Pedestrian signal pole. All over the pole and pedestrian signal.,Alemany cross Santa Rosa,11,Intersection of ALEMANY BLVD and SANTA ROSA AVE,"(37.7267191301274, -122.435990849882)"
3249912,01/08/2014 07:22:00 PM,,Open,Sign Repair or Replace,Graffiti sticker on front of no pedestrian crossing sign.,NE Brompton and Diamond,8,Intersection of BOSWORTH ST and BROMPTON AVE,"(37.7337173855708, -122.434996144667)"
3288077,01/19/2014 05:09:00 PM,01/21/2014 02:16:00 PM,Closed,Graffiti on Public Property,Graffiti lettering on seats in bus shelter.,Muni bus shelter ID 15614 at Mission/@Richland for OUTBOUND 14-Mission.,9,Intersection of MISSION ST and RICHLAND AVE,"(37.7360610336851, -122.424466098948)"
3249922,01/08/2014 07:24:00 PM,,Open,Sign Repair or Replace,Graffiti sticker on front of all way sign,NE corner Lippard and Bosworth,8,Intersection of BOSWORTH ST and LIPPARD AVE,"(37.733875206882, -122.435840044922)"
3271680,01/14/2014 04:43:00 PM,01/14/2014 06:22:00 PM,Closed,Graffiti on Public Property,GRAFFITI ON VERTICAL PEDESTRAIN CROSSING SIGNS IN THE CROSSWALK. ,EAST CROSSWALK NORTH AND SOUTH OVER JOOST AT LIPPARD,7,Intersection of JOOST AVE and LIPPARD AVE,"(37.7323822897481, -122.436238336752)"
3262089,01/12/2014 10:30:00 AM,01/13/2014 10:35:00 AM,Closed,Graffiti on Public Property,Caller states there is offensive graffiti on the Muni bus shelter.,Diamond Heights Blvd. & Gold Mine Dr. ,8,Intersection of DIAMOND HEIGHTS BLVD and GOLD MINE DR,"(37.7436086527396, -122.437682799061)"
3336092,02/04/2014 09:05:00 AM,02/04/2014 02:05:00 PM,Closed,Graffiti on Public Property,Graffiti on bus shelter - corner of gold mine & diamond height blvd by Safeway,"Reported as: 5292-5298 Diamond Heights Blvd, San Francisco",8,Intersection of DIAMOND HEIGHTS BLVD and GOLD MINE DR,"(37.7436086527396, -122.437682799061)"
3311501,01/27/2014 02:09:00 PM,01/29/2014 06:19:00 AM,Closed,Graffiti on Public Property,Graffiti on Signal Box,Intersection of AMAZON AVE and MISSION ST,11,Intersection of AMAZON AVE and MISSION ST,"(37.717244585, -122.44041792)"
3326938,01/31/2014 05:26:00 PM,02/04/2014 07:20:00 AM,Closed,Graffiti on Private Property,Graffiti on the sidewalk at the corner of Geneva and Delano remains and has gotten worse since last request which was erroneously closed / not taken care of.,"Reported as: 651-699 Delano Ave, San Francisco",11,Intersection of DELANO AVE and GENEVA AVE,"(37.720086647, -122.445127752)"
3254062,01/09/2014 05:27:00 PM,01/17/2014 11:17:00 PM,Closed,Graffiti on Private Property,Graffiti on the sidewalk at Geneva and Delano remains despite earlier complaint.,"Reported as: 651-699 Delano Ave, San Francisco",11,Intersection of DELANO AVE and GENEVA AVE,"(37.720086647, -122.445127752)"
3309681,01/27/2014 08:20:00 AM,01/27/2014 08:38:00 AM,Closed,Graffiti on Public Property,SW corner of gennessee and Monterey....  the mailbox is graffitied and in the need of maintenance and paint since it is rusty,"Reported as: 701 Monterey Blvd, San Francisco",7,Intersection of GENNESSEE ST and MONTEREY BLVD,"(37.7315369517975, -122.451146715828)"
3242166,01/07/2014 09:20:00 AM,,Open,Request for City Services,Caller would like to request the retaining wall painted the same green color wall as the wall on Sequoia Way. The retaining wall is currently off-white color and attracts a lot of graffiti. Caller already talked to Rec and Park and was told they are not the department who paints the retaining wall. It would look nicer and lower maintenance in the future.,"On Bella Vista Way, from Sequoia Way all the way to the stairs that leads to the Miraloma Elementary School.",7,Intersection of BELLA VISTA WAY and SEQUOIA WAY,"(37.7380003139235, -122.448919350629)"
3242897,01/07/2014 11:16:00 AM,01/10/2014 06:18:00 AM,Closed,Graffiti on Public Property,gang graffiti on the utility box,on Cedro Ave at Ocean Ave,7,Intersection of CEDRO AVE and OCEAN AVE,"(37.7277720290933, -122.467330542586)"
3337274,02/04/2014 01:03:00 PM,,Open,Graffiti on Private Property,Graffiti - Private,27th Ave,4,Intersection of 27TH AVE and TARAVAL ST,"(37.7426730405886, -122.484263584944)"
3321593,01/30/2014 10:40:00 AM,02/03/2014 07:17:00 AM,Closed,Graffiti on Public Property,graffiti on the utility box,30th Ave at Taraval,4,Intersection of 30TH AVE and TARAVAL ST,"(37.7425318126337, -122.487476540669)"
3324792,01/31/2014 08:49:00 AM,02/03/2014 07:16:00 AM,Closed,Graffiti on Public Property,Graffiti on bridge underpass: http://goo.gl/maps/yoxdh,"Sunset and Yorba, underneath bridge underpass",4,Intersection of SUNSET BLVD and YORBA ST,"(37.735027780033, -122.493857043558)"
3271824,01/14/2014 05:26:00 PM,01/23/2014 07:25:00 AM,Closed,Abandoned Vehicles,this vehicle has been parked for a week. It has graffiti on the truck.,Parked on 34th Ave and Santiago,4,Intersection of 34TH AVE and SANTIAGO ST,"(37.7442096743438, -122.491900893528)"
3296317,01/22/2014 11:37:00 AM,01/22/2014 02:23:00 PM,Closed,Graffiti on Public Property,168 Hyde and Turk graffiti on streetlight pole,"Reported as: 300-398 Turk St, San Francisco",6,Intersection of HYDE ST and TURK ST,"(37.7825849253338, -122.415693877194)"
3305326,01/25/2014 08:25:00 AM,,Open,Internal Service Request,"twiter reports ""Graffiti on mailboxes, SW corner of Bush/Mason""",SWC of Bush/Mason,3,Intersection of BUSH ST and MASON ST,"(37.7899515063089, -122.410433298686)"
3246281,01/08/2014 07:50:00 AM,01/10/2014 11:16:00 AM,Closed,Graffiti on Public Property,Graffiti on parking meter number 336 08120,"Reported as: 809 Bush St San Francisco, CA 94108",3,Intersection of BUSH ST and MASON ST,"(37.7899515063089, -122.410433298686)"
3249766,01/08/2014 06:29:00 PM,01/08/2014 07:24:00 PM,Closed,Graffiti on Public Property,Graffiti on us post mailbox. Corner of bush and mason,"Reported as: 698 Mason St San Francisco, CA 94108",3,Intersection of BUSH ST and MASON ST,"(37.7899515063089, -122.410433298686)"
3249910,01/08/2014 07:22:00 PM,01/08/2014 08:01:00 PM,Closed,Graffiti on Public Property,Transferred from SR # 3249766: Graffiti on US Post Mailbox.,IFO 698 Mason/Bush,3,Intersection of BUSH ST and MASON ST,"(37.7899515063089, -122.410433298686)"
3245374,01/07/2014 06:52:00 PM,01/07/2014 07:06:00 PM,Closed,Graffiti on Public Property,Graffiti on US post office box,"Reported as: 875-899 Bush St San Francisco, CA 94108",3,Intersection of BUSH ST and TAYLOR ST,"(37.7897400154675, -122.412075811007)"
3260090,01/11/2014 12:22:00 PM,,Open,Graffiti on Private Property,Graffiti on slip pad on corner of Colin and jones,"Reported as: 2-98 Colin Pl San Francisco, CA 94102",3,Intersection of COLIN PL and JONES ST,"(37.787383724271, -122.413294765005)"
3313160,01/28/2014 12:02:00 AM,,Open,Internal Service Request,"Graffiti on a green mailbox 

http://mobile311.sfgov.org/media/san_francisco/report/photos/52e74f4edf8615fd83bc38ad/report.jpg",Stockton Tunnel,3,Intersection of PINE ST and STOCKTON ST,"(37.7912981240787, -122.407322888067)"
3318399,01/29/2014 12:31:00 PM,01/31/2014 06:21:00 AM,Closed,Graffiti on Public Property,867 Stockton and clay.  Traffic control panel graffiti,"Reported as: 901-923 Clay St, San Francisco",3,Intersection of CLAY ST and STOCKTON ST,"(37.7940603549851, -122.407903381766)"
3299491,01/23/2014 10:50:00 AM,,Open,Graffiti on Private Property,1134 grant ave and broadway sidewall with graffiti private building,"Reported as: 601-621 Broadway, San Francisco",3,Intersection of GRANT AVE and JACK KEROUAC ALY,"(37.797469111, -122.406945187)"
3325059,01/31/2014 09:42:00 AM,,Open,Graffiti on Public Property,Graffiti on sidewalk,"Reported as: 17-99 Jack Kerouac Aly, San Francisco",3,Intersection of GRANT AVE and JACK KEROUAC ALY,"(37.797469111, -122.406945187)"
3325068,01/31/2014 09:43:00 AM,02/03/2014 02:23:00 PM,Closed,Graffiti on Private Property,Private bldg on wall graffiti,"Reported as: 1133 Grant Ave, San Francisco",3,Intersection of GRANT AVE and JACK KEROUAC ALY,"(37.797469111, -122.406945187)"
3325100,01/31/2014 09:51:00 AM,02/01/2014 02:17:00 PM,Closed,Graffiti on Public Property,City can graffiti,"Reported as: 728 Pacific Ave, San Francisco",3,Intersection of PACIFIC AVE and PELTON PL,"(37.796804427, -122.407620453)"
3325111,01/31/2014 09:53:00 AM,,Open,Graffiti on Private Property,Private commercial bldg graffiti,"Reported as: 711 Pacific Ave, San Francisco",3,Intersection of PACIFIC AVE and PELTON PL,"(37.796804427, -122.407620453)"
3325146,01/31/2014 09:59:00 AM,02/02/2014 04:15:00 PM,Closed,Graffiti on Private Property,Ping turn housing wall graffiti,"Reported as: 1-59 Cordelia St, San Francisco",3,Intersection of CORDELIA ST and PACIFIC AVE,"(37.7966505, -122.408848856)"
3311881,01/27/2014 03:20:00 PM,01/29/2014 06:20:00 AM,Closed,Graffiti on Public Property,SW corner has 2 traffic poles with at least 4 graffiti stickers on upper / low south side,"Reported as: 1001 Pine St, San Francisco",3,Intersection of PINE ST and TAYLOR ST,"(37.7906727960858, -122.41226632311)"
3311871,01/27/2014 03:18:00 PM,,Open,Graffiti on Public Property,Corner is blight by illegal news rack tagged all over with graffiti,"Reported as: 1073-1099 Pine St, San Francisco",3,Intersection of JONES ST and PINE ST,"(37.7904630894477, -122.413915815597)"
3300324,01/23/2014 01:50:00 PM,01/24/2014 03:20:00 PM,Closed,Graffiti on Public Property,"The metal barrier/guardrail at the top of the Jones St hill at California, separating the parked cars from traffic, has graffiti on it and should be repainted.","The metal barrrier/guardrail at the top of the Jones St hill, at California St",3,Intersection of CALIFORNIA ST and JONES ST,"(37.7914164545205, -122.414107229495)"
3333862,02/03/2014 02:05:00 PM,,Open,Graffiti on Public Property,Graffiti on the green utility box,Clay St. & Taylor St.,3,Intersection of CLAY ST and TAYLOR ST,"(37.7934322689017, -122.412829271539)"
3266916,01/13/2014 03:25:00 PM,01/13/2014 03:45:00 PM,Closed,Graffiti on Public Property,Graffiti on broken pipe,"Reported as: 2594 Great Hwy, San Francisco",4,Intersection of GREAT HWY and VICENTE ST,"(37.737959826, -122.50643591)"
3241821,01/07/2014 08:19:00 AM,01/16/2014 03:21:00 PM,Closed,Graffiti on Private Property,"Graffiti for months!!!!!

Remove from Brannan St.  Park.","Reported as: 602 The Embarcadero, San Francisco",6,Intersection of BRANNAN ST and THE EMBARCADERO,"(37.7847729597113, -122.388185950572)"
3272660,01/15/2014 07:02:00 AM,01/17/2014 03:29:00 PM,Closed,Graffiti on Public Property,Graffiti!!!!!!,"Reported as: 601-631 The Embarcadero, San Francisco",6,Intersection of BRANNAN ST and THE EMBARCADERO,"(37.7847729597113, -122.388185950572)"
3317723,01/29/2014 10:15:00 AM,,Open,Graffiti on Private Property,graffiti the east side of Pennsylvania,on Center Hardware at 999 Mariposa,10,Intersection of MARIPOSA ST and PENNSYLVANIA AVE,"(37.7640213107814, -122.39372964828)"
3276196,01/15/2014 06:01:00 PM,,Open,Graffiti on Private Property,Graffiti - Private  Private property graffiti on the building..,On 17th St,10,Intersection of 17TH ST and PENNSYLVANIA AVE,"(37.7653066110543, -122.393847882204)"
3296286,01/22/2014 11:30:00 AM,01/24/2014 09:17:00 AM,Closed,Graffiti on Public Property,Graffiti on utility pole at 24th and Rhode Island at bus stop.,"Reported as: 1200 Rhode Island St, San Francisco",10,Intersection of 24TH ST and RHODE ISLAND ST,"(37.753293936, -122.401467729)"
3304503,01/24/2014 05:08:00 PM,01/27/2014 03:16:00 PM,Closed,Graffiti on Public Property,Graffiti on pole at 24th and Rhode Island.  3rd request.,"Reported as: 1200 Rhode Island St, San Francisco",10,Intersection of 24TH ST and RHODE ISLAND ST,"(37.753293936, -122.401467729)"
3283180,01/17/2014 05:06:00 PM,01/17/2014 07:15:00 PM,Closed,Graffiti on Public Property,Graffiti on AT&T box at 24th and Kansas,"IFO 2249 23rd St/Rhode Island, San Francisco",10,Intersection of 23RD ST and RHODE ISLAND ST,"(37.7545706510379, -122.401589320495)"
3253695,01/09/2014 04:05:00 PM,01/11/2014 06:20:00 AM,Closed,Graffiti on Public Property,Graffiti on side wall of walking path/bridge,Intersection of 25TH ST and VERMONT ST,10,Intersection of 25TH ST and VERMONT ST,"(37.7519020782322, -122.40328748618)"
3293335,01/21/2014 01:02:00 PM,01/22/2014 02:22:00 PM,Closed,Graffiti on Public Property,graffiti on the telephone pole,at 20th st & de haro,10,Intersection of 20TH ST and DE HARO ST,"(37.7597337670339, -122.401111492718)"
3265637,01/13/2014 11:48:00 AM,01/15/2014 05:15:00 AM,Closed,Graffiti on Public Property,Two news racks: sf weekly and guardian.   Graffiti,"Reported as: 506-528 3rd St, San Francisco",6,Intersection of 3RD ST and TABER PL,"(37.781062105, -122.395518091)"
3256659,01/10/2014 12:16:00 PM,01/10/2014 12:31:00 PM,Closed,Graffiti on Public Property,"New graffiti, old problem had been abated","Reported as: I-80 E, San Francisco",6,Intersection of 3RD ST and STILLMAN ST,"(37.781750346982, -122.396379443258)"
3337586,02/04/2014 02:06:00 PM,,Open,Graffiti on Private Property,Graffiti - Private  Private property graffiti,363 06TH ST,6,Intersection of 6TH ST and CLARA ST,"(37.7776995594571, -122.404605443009)"
3261883,01/12/2014 08:44:00 AM,01/12/2014 10:15:00 AM,Closed,Graffiti on Private Property,Graffiti on side of 1015 Folsom nightclub and all along crosswalk and sidewalk.,"Reported as: 100-104 Harriet St, San Francisco",6,Intersection of FOLSOM ST and HARRIET ST,"(37.7780825037493, -122.406150479603)"
3290247,01/20/2014 01:52:00 PM,01/21/2014 11:20:00 AM,Closed,Graffiti on Public Property,Crosswalk at Harriet & Folsom: graffiti on street,"Reported as: 100-104 Harriet St, San Francisco",6,Intersection of FOLSOM ST and HARRIET ST,"(37.7780825037493, -122.406150479603)"
3332807,02/03/2014 10:56:00 AM,02/04/2014 08:19:00 AM,Closed,Graffiti on Public Property,Graffiti in the street - something about killing disabled people,On 6th Street between Howard and Tehama,6,Intersection of 6TH ST and HOWARD ST,"(37.7797387743648, -122.407159615722)"
3304157,01/24/2014 03:20:00 PM,01/24/2014 03:27:00 PM,Closed,Request for City Services,Graffiti on a fire hydrant. ,"Howard and Mary Streets

(Reported as:927 San Francisco Bicycle Route 30)",6,Intersection of HOWARD ST and MARY ST,"(37.7808784178023, -122.405718672887)"
3303649,01/24/2014 01:33:00 PM,01/28/2014 10:57:00 AM,Closed,SFMTA Feedback,Bus sign at this location - Graffiti,,10,Intersection of 25TH ST and POTRERO AVE,"(37.7517261336742, -122.406219473838)"
3311653,01/27/2014 02:37:00 PM,,Open,Graffiti on Public Property,graffiti on fire call box,24th St / York St,9,Intersection of 24TH ST and YORK ST,"(37.7528523632071, -122.408188880987)"
3330983,02/02/2014 03:13:00 PM,02/04/2014 07:24:00 AM,Closed,Graffiti on Public Property,graffiti on utility box,22nd st & hampshire,9,Intersection of 22ND ST and HAMPSHIRE ST,"(37.7561087218187, -122.407602013047)"
3330988,02/02/2014 03:15:00 PM,,Open,Sign Repair or Replace,graffiti on the stop sign,ne corner of 22nd st & hampshire,9,Intersection of 22ND ST and HAMPSHIRE ST,"(37.7561087218187, -122.407602013047)"
3330976,02/02/2014 03:11:00 PM,,Open,Internal Service Request,graffiti on green mailbox,ne corner,9,Intersection of 22ND ST and YORK ST,"(37.7560546420969, -122.408499131392)"
3314598,01/28/2014 11:27:00 AM,01/28/2014 11:32:00 AM,Closed,Request for City Services,Graffiti on the fire hydrant.,NEC 24th st and Harrison St,9,Intersection of 24TH ST and HARRISON ST,"(37.7526285022298, -122.411899811917)"
3328266,02/01/2014 11:33:00 AM,02/01/2014 08:03:00 PM,Closed,Graffiti on Public Property,Graffiti on stone bus stop bench,"Reported as: 3101-3149 23rd St, San Francisco",9,Intersection of 23RD ST and FOLSOM ST,"(37.7540989545999, -122.414233510306)"
3330992,02/02/2014 03:16:00 PM,,Open,Graffiti on Public Property,graffiti on the utility box,22nd st & alabama,9,Intersection of 22ND ST and ALABAMA ST,"(37.7558874576761, -122.411272695252)"
3245172,01/07/2014 05:56:00 PM,01/08/2014 10:05:00 AM,Closed,Graffiti on Public Property,the yellow disabled ramps on all four corners of this intersection have graffiti,all four corners at 21st & treat,9,Intersection of 21ST ST and TREAT AVE,"(37.75736353614, -122.413446782996)"
3254417,01/09/2014 07:21:00 PM,01/14/2014 06:18:00 AM,Closed,Graffiti on Public Property,Graffiti for months on the fence,Fence around the AT&T tower at 20th Ave and Potrero,10,Intersection of 20TH ST and POTRERO AVE,"(37.759365354335, -122.406946939974)"
3299790,01/23/2014 11:54:00 AM,,Open,Internal Service Request,Graffiti on the fence around the ATT tower.  In original SR #3254417 this was accidentally referred to PG&E.,The fence around the ATT tower at 20th and Potrero,10,Intersection of 20TH ST and POTRERO AVE,"(37.759365354335, -122.406946939974)"
3300161,01/23/2014 01:15:00 PM,01/27/2014 03:17:00 PM,Closed,Graffiti on Public Property,Graffiti on telephone pole.,of 16th and Utah.,10,Intersection of 16TH ST and UTAH ST,"(37.765842363858, -122.406552656085)"
3281192,01/17/2014 09:25:00 AM,,Open,Graffiti on Private Property,"next door to 3256 20th stairs butt up against the wall of 3252 20th, so in addition to graffiti on 3256 20th x treat there is also graffiti on wall of 3252 20th.","3252 20th, x treat",9,Intersection of 20TH ST and TREAT AVE,"(37.758961683895, -122.413599701768)"
3277728,01/16/2014 10:04:00 AM,01/18/2014 05:15:00 AM,Closed,Graffiti on Public Property,"Graffiti on pole.
See pole in picture","Reported as: 3001-3041 17th St, San Francisco",9,Intersection of 17TH ST and HARRISON ST,"(37.7640908061458, -122.413002774074)"
3278357,01/16/2014 12:21:00 PM,,Open,Graffiti on Public Property,Graffiti mail box,"Reported as: 2545 16th St, San Francisco",9,Intersection of 16TH ST and ALABAMA ST,"(37.7654897134671, -122.412416304692)"
3252505,01/09/2014 12:40:00 PM,01/14/2014 05:18:00 AM,Closed,Graffiti on Public Property,Graffiti on news racks at South Van Ness and 24th St on the North East Corner,"Reported as: 1281 S Van Ness Ave, San Francisco",9,Intersection of 24TH ST and SOUTH VAN NESS AVE,"(37.7523727280327, -122.416265499131)"
3240807,01/06/2014 06:40:00 PM,01/07/2014 04:04:00 PM,Closed,Graffiti on Public Property,Utility box with graffiti,"Reported as: 3255 24th St, San Francisco",9,Intersection of 24TH ST and CAPP ST,"(37.7523060680218, -122.417357711691)"
3263683,01/12/2014 08:16:00 PM,01/16/2014 06:17:00 AM,Closed,Graffiti on Public Property,Graffiti and posters on utility box,"Reported as: 3255 24th St, San Francisco",9,Intersection of 24TH ST and CAPP ST,"(37.7523060680218, -122.417357711691)"
3267962,01/13/2014 07:19:00 PM,01/15/2014 03:20:00 PM,Closed,Graffiti on Private Property,Graffiti on yellow sidewalk ramp,"Reported as: 3264 23rd St, San Francisco",9,Intersection of 23RD ST and CAPP ST,"(37.7539020942446, -122.417505805937)"
3327471,01/31/2014 10:40:00 PM,01/31/2014 10:46:00 PM,Closed,Graffiti on Public Property,Mailbox graffiti,Reported as: N37.75 E122.42,9,Intersection of 23RD ST and CAPP ST,"(37.7539020942446, -122.417505805937)"
3318321,01/29/2014 12:16:00 PM,02/01/2014 06:23:00 AM,Closed,Graffiti on Public Property,NW corner of 21st and Folsom. Utility cabinet graffitied,"Reported as: 3000 21st St, San Francisco",9,Intersection of 21ST ST and FOLSOM ST,"(37.757297686711, -122.414541513559)"
3245154,01/07/2014 05:53:00 PM,01/09/2014 06:05:00 AM,Closed,Graffiti on Public Property,gang graffiti on the signal box,SWC of 21st & Folsom,9,Intersection of 21ST ST and FOLSOM ST,"(37.757297686711, -122.414541513559)"
3268788,01/14/2014 08:09:00 AM,01/15/2014 03:22:00 PM,Closed,Graffiti on Public Property,Graffiti on city can. ,21st & Shotwell,9,Intersection of 21ST ST and SHOTWELL ST,"(37.7572322647066, -122.415626219904)"
3260235,01/11/2014 01:04:00 PM,,Open,Request for City Services,graffiti on a large utility plate on the sidewalk,ifo 3334 24th Street,9,Intersection of 24TH ST and BARTLETT ST,"(37.7521713714865, -122.419557318462)"
3260290,01/11/2014 01:18:00 PM,,Open,Graffiti on Public Property,Twitter resident states: graffiti Bartlett and 24th Street,The intersection of Bartlett and 24th St,9,Intersection of 24TH ST and BARTLETT ST,"(37.7521713714865, -122.419557318462)"
